ZV6	CHEMBL238502
ZVMV6	CHEMBL239540
Q2M10	CHEMBL241385
Q2M16	CHEMBL241387
Q2M8	CHEMBL240966
Z2SWQ	CHEMBL239243
ZMV1Z	CHEMBL241347
Z2MV11	CHEMBL3335316
Z4MV13	CHEMBL3335325
NC1VM4	CHEMBL3334625
2U2U1VO2U1	CHEMBL246378
G2MVMMVO1	CHEMBL246487
Q2MV11	CHEMBL246914
ZMV1U2U2	CHEMBL249001
3OV1U2U2	CHEMBL249003
4MV1U1	CHEMBL3334581
WNO4	CHEMBL249809
ZV1U2U2	CHEMBL249185
